Metric,hjson-cpp,json.cpp,jvar,tinyxml2,jsonxx,RSJp-cpp,Jzon,TinyEXIF,bitmap,indicators,polypartition,Overall
Avg Tokens / Method (Citywalk),"7,658.3","9,651.4","6,848.5","7,760.3","7,377.3","7,540.3","15,039.2","7,638.5","106,611.3","36,527.8","10,023.4","29,579.0"
Avg Tokens / Method (ConReflect),"18,310.4","9,218.4","18,527.8","16,442.9","6,727.9","12,880.8","7,608.1","11,447.5","16,066.2","9,520.9","23,710.3","13,850.3"
Δ (ConReflect − Citywalk),"+10,652.2",-432.9,"+11,679.3","+8,682.7",-649.4,"+5,340.5","-7,431.1","+3,809.0","-90,545.1","-27,006.9","+13,686.9","-15,728.7"
