Metric,hjson-cpp,json.cpp,jvar,tinyxml2,jsonxx,rjsp,jzon,TinyEXIF,bitmap,indicators,polypartition,Overall
Used Reflection,15 / 74  (20.3%),5 / 28  (17.9%),24 / 105  (22.9%),11 / 159  (6.9%),3 / 59  (5.1%),7 / 35  (20.0%),6 / 70  (8.6%),7 / 56  (12.5%),17 / 144  (11.8%),3 / 135  (2.2%),9 / 19  (47.4%),107 / 884  (12.1%)
Reflect Success,14 / 15  (93.3%),1 / 5  (20.0%),13 / 24  (54.2%),7 / 11  (63.6%),3 / 3  (100.0%),5 / 7  (71.4%),4 / 6  (66.7%),1 / 7  (14.3%),4 / 17  (23.5%),2 / 3  (66.7%),6 / 9  (66.7%),60 / 107  (56.1%)
